warehouse,lat,lon
"McCarren, NV",39.552374998797674, -119.45676773913358
"Phoenix, AZ",33.44503820697953, -112.36701019358085
"Dallas, TX",32.69035464456506, -96.95392266860966
"Belton, MO",38.83708291083489, -94.52600829410646
"Minneapolis, MN",,
"Dayton, OH",39.81841509409706, -84.21368790687637
"Clayton, IN",39.61878954581463, -86.4857539699595
"Louisville, KY",38.15859690933876, -85.69386736645241
"Boston, MA",42.350722288171625, -71.04925808674014
"Archibald, PA",41.47903523932558, -75.52402972657887
"Wilkes-Barre, PA",41.20581016611363, -75.9206181277044
"Lewisberry, PA",40.157676557187855, -76.82936146967596
"Mechanicsburg, PA",40.22819615805597, -77.07147189430765
"Salisbury, NC",35.6923447239763, -80.39984588416759
"Ocala, FL",29.223937560173944, -82.18030354038991
"Dania Beach, FL",,
"Hollywood, FL", 26.67831719343661, -80.11694718092592